YEAR,BANKS, TOTAL ASSETS , DEPOSITS DOMESTIC DEMAND , TOTAL DEPOSITS , TOTAL FOREIGN DEPOSITS , INTEREST BEARING DEPOSITS , FOREIGN DEPOSITS - INTEREST BEARING , DEPOSITS - NON-INTEREST BEARING , FOREIGN DEPOSITS - NON INTEREST BEARING , TOTAL EQUITY CAPITAL , NET INCOME ," DEPOSITS - INDIVIDUALS, PARTNERSHIPS AND CORPORATIONS ", DEPOSITS - US GOVT , DEPOSITS - STATE & POLITICAL SUB-DIVISIONS , DEPOSITS - ALL OTHER , DEPOSITS - DOMESTIC SAVINGS , TOTAL DOMESTIC DEPOSITS , DOMESTIC DEPOSITS - NON-TRANSACTION , DEPOSITS - DOMESTIC TIME , DOMESTIC DEPOSITS - TRANSACTION,LOCATIONS
2008,7077,"12,313,141,199.00","645,607,250.00","8,085,709,986.00","1,539,086,798.00","6,655,066,700.00","1,480,845,710.00","1,430,643,359.00","58,241,088.00","1,154,480,688.00","15,262,023.00","7,236,426,662.00","3,990,532.00","354,130,368.00","491,162,424.00","3,511,868,123.00","6,546,623,182.00","5,694,919,093.00","2,389,147,809.00","851,704,089.00",United States & Other Areas
2007,7279,"11,181,900,787.00","512,529,533.00","7,313,861,237.00","1,502,061,276.00","6,112,278,722.00","1,436,773,507.00","1,201,582,521.00","65,287,770.00","1,143,507,906.00","97,639,154.00","6,547,295,337.00","5,003,238.00","326,234,850.00","435,327,812.00","3,202,138,073.00","5,811,799,951.00","5,104,170,846.00","2,097,132,345.00","707,629,105.00",United States & Other Areas
2006,7397,"10,097,741,906.00","516,121,610.00","6,735,638,819.00","1,193,603,946.00","5,518,831,781.00","1,140,473,194.00","1,216,807,072.00","53,130,751.00","1,030,533,331.00","128,266,630.00","6,048,017,895.00","3,847,558.00","289,970,705.00","393,802,661.00","3,109,594,452.00","5,542,034,874.00","4,825,946,679.00","1,916,318,812.00","716,088,195.00",United States & Other Areas
2005,7523,"9,046,945,908.00","543,703,054.00","6,077,508,026.00","920,631,945.00","4,873,023,982.00","870,234,587.00","1,204,484,050.00","50,397,359.00","912,892,459.00","113,965,005.00","5,541,112,804.00","3,392,286.00","261,054,531.00","271,948,405.00","2,963,206,420.00","5,156,876,076.00","4,408,569,409.00","1,649,966,602.00","748,306,667.00",United States & Other Areas
2004,7628,"8,420,099,062.00","548,308,746.00","5,596,572,154.00","865,891,962.00","4,491,744,918.00","823,005,761.00","1,104,827,246.00","42,886,200.00","850,587,022.00","104,021,848.00","5,055,980,403.00","4,751,635.00","238,466,352.00","297,373,764.00","2,789,415,086.00","4,730,680,201.00","3,973,478,755.00","1,392,956,369.00","757,201,446.00",United States & Other Areas
2003,7767,"7,601,000,415.00","529,268,440.00","5,034,669,168.00","741,171,227.00","4,043,266,909.00","705,658,060.00","991,402,253.00","35,513,165.00","691,815,157.00","102,566,180.00","4,524,527,229.00","5,197,715.00","230,410,869.00","274,533,355.00","2,510,786,066.00","4,293,497,917.00","3,561,337,197.00","1,253,443,411.00","732,160,720.00",United States & Other Areas
2002,7887,"7,076,844,192.00","531,626,961.00","4,689,787,744.00","658,037,244.00","3,749,538,274.00","624,425,534.00","940,249,479.00","33,611,708.00","647,390,909.00","89,439,142.00","4,221,185,835.00","30,161,014.00","199,459,461.00","238,981,434.00","2,209,577,225.00","4,031,750,491.00","3,321,215,732.00","1,290,546,305.00","710,534,759.00",United States & Other Areas
2001,8082,"6,552,293,846.00","576,024,604.00","4,377,557,731.00","629,515,871.00","3,505,775,887.00","597,858,363.00","871,781,881.00","31,657,510.00","593,594,836.00","74,131,124.00","3,981,540,155.00","12,372,705.00","175,061,509.00","208,583,362.00","1,879,989,245.00","3,748,041,851.00","3,002,089,982.00","1,292,028,002.00","745,951,869.00",United States & Other Areas
2000,8315,"6,245,559,732.00","531,469,301.00","4,179,567,486.00","706,666,369.00","3,423,073,069.00","676,072,372.00","756,494,415.00","30,593,997.00","530,355,859.00","70,795,046.00","3,731,761,862.00","8,582,733.00","162,310,612.00","276,912,279.00","1,568,121,930.00","3,472,901,121.00","2,793,609,603.00","1,373,309,890.00","679,291,518.00",United States & Other Areas
1999,8582,"5,735,134,597.00","527,912,169.00","3,831,058,463.00","655,589,140.00","3,127,705,304.00","627,002,660.00","703,353,157.00","28,586,480.00","479,689,956.00","71,527,729.00","3,414,288,084.00","7,555,705.00","152,455,012.00","256,759,662.00","1,421,830,303.00","3,175,469,318.00","2,488,747,250.00","1,225,726,846.00","686,722,068.00",United States & Other Areas
1998,8777,"5,442,603,969.00","587,762,127.00","3,681,390,727.00","572,033,860.00","2,961,347,566.00","548,252,866.00","720,043,161.00","23,780,994.00","462,231,018.00","61,885,315.00","3,280,348,638.00","7,279,311.00","138,701,502.00","255,061,276.00","1,350,977,671.00","3,109,356,858.00","2,355,805,928.00","1,170,617,060.00","753,550,930.00",United States & Other Areas
1997,9144,"5,018,532,250.00","591,330,376.00","3,421,663,524.00","526,194,713.00","2,744,883,503.00","504,762,895.00","676,780,023.00","21,431,818.00","418,045,317.00","59,159,284.00","3,042,203,485.00","6,763,520.00","125,393,420.00","247,303,099.00","1,173,746,475.00","2,895,468,806.00","2,132,365,742.00","1,130,391,955.00","763,103,064.00",United States & Other Areas
1996,9530,"4,582,164,804.00","603,232,879.00","3,197,138,558.00","473,580,215.00","2,532,877,920.00","452,284,853.00","664,260,638.00","21,295,362.00","375,586,354.00","52,324,224.00","2,827,998,298.00","9,317,845.00","117,024,745.00","242,797,670.00","1,083,104,396.00","2,723,558,326.00","1,924,938,604.00","1,037,221,051.00","798,619,722.00",United States & Other Areas
